CodeHydro,Periode,Automne,Hiver,Printemps,Été
A116003002,2005-2030,4.7769017969230765,10.869264527992717,10.382980573822463,5.050344458240286
A116003002,2030-2050,4.406656004395605,13.772475845429362,10.039370430978261,5.171826688586957
A116003002,2070-2100,4.943453591941392,14.200519060737527,11.605290446704066,5.1450621520737325
A133003001,2005-2030,8.677671600439561,19.94775456759217,17.791103691576087,8.017162077713264
A133003001,2030-2050,7.738612658791209,24.800739811634347,17.271825336413045,8.189692208695652
A133003001,2070-2100,8.907735787545787,26.082198218004336,19.34758237973352,8.081894381070542
A147003001,2005-2030,8.791400077802198,20.170697334547107,18.11795811277174,8.205939394372487
A147003001,2030-2050,7.859209062087912,25.075231320221608,17.58313786521739,8.376303360869565
A147003001,2070-2100,9.049707468864469,26.397764213665944,19.732158264375876,8.276467762141085
A161003001,2005-2030,15.547329616263735,38.153405602639964,33.450092948822466,14.63017708083966
A161003001,2030-2050,13.845156165934066,46.80968612132964,32.66943343858696,14.904656267934783
A161003001,2070-2100,15.820054043956043,49.62707887418656,35.428893619214584,14.406548506203473
A216010001,2005-2030,6.219044451428571,16.434753828402368,13.268699742753624,5.358921547565878
A216010001,2030-2050,5.644921552197802,19.848106885872575,12.938477551086956,5.597576750543478
A216010001,2070-2100,5.880177180952381,20.495449563268256,12.901296553997195,5.0120953438496985
A286011003,2005-2030,6.088530042197802,15.856945387801549,12.044738979166667,5.233175560518088
A286011003,2030-2050,6.0968532763736265,18.65168313407202,10.93749865,5.068699828804348
A286011003,2070-2100,6.204638260439561,19.257518651482282,11.430923226507714,4.565064261609358
A315020001,2005-2030,3.444920320879121,8.61044899772417,7.933487566576087,3.7640165149620364
A315020001,2030-2050,3.3368678631868134,10.416972173407203,6.916947929347826,3.5913040874999997
A315020001,2070-2100,3.7611056109890106,10.957481760665221,7.562645317671809,3.5615646217653314
A331010001,2005-2030,3.586462959120879,8.856677052799272,8.225891649003623,3.923448900401965
A331010001,2030-2050,3.471214147252747,10.710653683102494,7.1841270527173915,3.7526799668478263
A331010001,2070-2100,3.904654357142857,11.264448284526392,7.86262762657784,3.7210197483161997
A348020001,2005-2030,3.7294140632967028,9.063436375967228,8.010221634057972,3.810472862885217
A348020001,2030-2050,3.886004382967033,11.044810722991691,7.132265996739131,3.581438960869565
A348020001,2070-2100,4.110472377655678,11.237247105567606,7.782503188639551,3.4958543956043955
A349020001,2005-2030,3.986366626813187,9.544821117888029,8.540249592391305,4.099288006252791
A349020001,2030-2050,4.130981037362638,11.633325880886426,7.615483558695652,3.8821943581521743
A349020001,2070-2100,4.376881852014652,11.843800386117136,8.334471570126226,3.7944826409074794
A369011001,2005-2030,2.532322114285714,5.628919096040054,5.412600675724637,2.732845378293881
A369011001,2030-2050,2.3423493994505495,6.607462743490304,4.838043732608695,2.6644872820652172
A369011001,2070-2100,2.6502420307692307,7.032850740057845,5.299788399018233,2.6390617770294225
A420063001,2005-2030,13.887713145054946,31.926860647701414,21.910923410326088,7.740703733363108
A420063001,2030-2050,12.070504819230768,37.00611399722991,21.461134215217392,8.274482472282608
A420063001,2070-2100,13.789494168864469,40.284852103036876,21.129308505610098,8.243299994328252
A443064001,2005-2030,23.106484468571427,54.30531235593992,37.144072038043475,13.429990302367127
A443064001,2030-2050,20.966708587912088,63.11357566481995,35.698132970108695,14.378920349456521
A443064001,2070-2100,22.79724348241758,68.25257590130153,35.66437484642356,14.070483233959589
A543101001,2005-2030,6.337240164835165,15.306748485662265,13.071719831521738,5.873965657882983
A543101001,2030-2050,5.905667857692308,18.223267096398892,13.322080921195653,5.9413116864130435
A543101001,2070-2100,6.603072016849817,21.05415209255242,14.18861229593268,6.066373032258065
A573061001,2005-2030,37.974524785934065,90.39102132316795,69.1069240276268,27.7700451469406
A573061001,2030-2050,35.45753687967033,107.14010721551247,67.17889013152174,28.87068067554348
A573061001,2070-2100,38.34319342014652,118.04780734526392,69.71376345862552,28.60754790464374
A631101001,2005-2030,17.066845267692308,43.69024433727811,27.494234879528985,10.676985133095133
A631101001,2030-2050,16.738617457692307,51.77311603767313,25.67924172826087,10.974766128804347
A631101001,2070-2100,16.821952183516483,53.54875415690528,25.944550065217392,10.322660946118397
A692101001,2005-2030,30.039020818021974,74.35470000591715,54.1110301231884,22.929069732023223
A692101001,2030-2050,30.209085085164833,89.59733548421052,50.36003476141305,22.978194603260867
A692101001,2070-2100,31.055852747985348,94.85697485647144,52.69661538920056,22.308698178305566
A701061001,2005-2030,70.99562112483517,171.05896273418298,129.83797376766304,54.196262693613214
A701061001,2030-2050,68.75523669835165,204.53421192908587,124.16783803369565,55.43115974402174
A701061001,2070-2100,72.8717093915751,221.97711932031817,129.53628033520337,54.50446781389578
A782101001,2005-2030,5.311942286153847,11.588821304050978,10.818006119112319,5.547846508262618
A782101001,2030-2050,5.241289073076923,13.964962789473685,10.185673784782608,5.0908004733695655
A782101001,2070-2100,6.186352775457875,16.30079576283442,10.968733787517532,5.357681910669975
A788101001,2005-2030,6.771688187692307,14.83696409558489,13.829583775815218,7.182869587315766
A788101001,2030-2050,6.771854178021978,18.125007304155126,13.248548084782607,6.759415785326087
A788101001,2070-2100,8.02914002051282,21.093001747650035,14.259822313464236,7.088849147465439
A843101001,2005-2030,6.884648005714285,18.36489541329085,15.781801431612317,7.424721639124609
A843101001,2030-2050,6.857878971428572,22.891674542936286,15.961800633695653,7.383707728804348
A843101001,2070-2100,7.92567346043956,27.066279013376718,16.343507875525944,7.692578618574974
A850061001,2005-2030,90.17946284043956,220.09106150295858,176.7715477717391,77.18670329834748
