Id_station;code_Hydro;nom_station;longitude;latitude;Periode;Automne;Hiver;Printemps;Été
390;A116003002;L'ILL-A-DIDENHEIM;7.306562;47.717758;2005-2030;4.7769017969230765;10.869264527992716;10.382980573822463;5.050344458240286
390;A116003002;L'ILL-A-DIDENHEIM;7.306562;47.717758;2030-2050;4.406656004395605;13.772475845429362;10.03937043097826;5.171826688586957
390;A116003002;L'ILL-A-DIDENHEIM;7.306562;47.717758;2070-2100;4.943453591941392;14.200519060737529;11.605290446704066;5.1450621520737325
268;A133003001;L'ILL-A-ENSISHEIM;7.348210;47.866882;2005-2030;8.677671600439561;19.94775456759217;17.791103691576087;8.017162077713264
268;A133003001;L'ILL-A-ENSISHEIM;7.348210;47.866882;2030-2050;7.738612658791209;24.800739811634347;17.271825336413045;8.189692208695652
268;A133003001;L'ILL-A-ENSISHEIM;7.348210;47.866882;2070-2100;8.907735787545787;26.082198218004336;19.34758237973352;8.081894381070542
224;A147003001;L'ILL-A-OBERHERGHEIM;7.398568;47.967632;2005-2030;8.791400077802198;20.170697334547107;18.11795811277174;8.205939394372487
224;A147003001;L'ILL-A-OBERHERGHEIM;7.398568;47.967632;2030-2050;7.859209062087912;25.075231320221608;17.58313786521739;8.376303360869565
224;A147003001;L'ILL-A-OBERHERGHEIM;7.398568;47.967632;2070-2100;9.049707468864469;26.397764213665944;19.73215826437588;8.276467762141085
183;A161003001;L'ILL-A-COLMAR-[LADHOF];7.384986;48.102531;2005-2030;15.547329616263736;38.15340560263997;33.450092948822466;14.63017708083966
183;A161003001;L'ILL-A-COLMAR-[LADHOF];7.384986;48.102531;2030-2050;13.845156165934066;46.80968612132964;32.66943343858696;14.904656267934785
183;A161003001;L'ILL-A-COLMAR-[LADHOF];7.384986;48.102531;2070-2100;15.820054043956045;49.62707887418656;35.428893619214584;14.406548506203473
469;A216010001;LA-FECHT-A-GUEMAR;7.402653;48.187145;2005-2030;6.219044451428571;16.434753828402368;13.268699742753624;5.358921547565878
469;A216010001;LA-FECHT-A-GUEMAR;7.402653;48.187145;2030-2050;5.644921552197802;19.84810688587257;12.938477551086956;5.597576750543478
469;A216010001;LA-FECHT-A-GUEMAR;7.402653;48.187145;2070-2100;5.880177180952381;20.495449563268256;12.901296553997197;5.0120953438496985
380;A286011003;LA-BRUCHE-A-HOLTZHEIM-;7.636941;48.558712;2005-2030;6.088530042197802;15.856945387801549;12.044738979166668;5.233175560518088
380;A286011003;LA-BRUCHE-A-HOLTZHEIM-;7.636941;48.558712;2030-2050;6.0968532763736265;18.65168313407202;10.93749865;5.068699828804348
380;A286011003;LA-BRUCHE-A-HOLTZHEIM-;7.636941;48.558712;2070-2100;6.204638260439561;19.25751865148228;11.430923226507714;4.565064261609358
407;A315020001;LA-ZINSEL-DU-NORD-A-SCHWEIGHOUSE-SUR-MODER;7.725576;48.830181;2005-2030;3.444920320879121;8.61044899772417;7.933487566576087;3.764016514962037
407;A315020001;LA-ZINSEL-DU-NORD-A-SCHWEIGHOUSE-SUR-MODER;7.725576;48.830181;2030-2050;3.3368678631868134;10.416972173407204;6.916947929347826;3.5913040875
407;A315020001;LA-ZINSEL-DU-NORD-A-SCHWEIGHOUSE-SUR-MODER;7.725576;48.830181;2070-2100;3.76110561098901;10.95748176066522;7.562645317671809;3.5615646217653314
381;A331010001;LA-MODER-A-KALTENHOUSE;7.842964;48.791401;2005-2030;3.586462959120879;8.856677052799272;8.225891649003623;3.923448900401965
381;A331010001;LA-MODER-A-KALTENHOUSE;7.842964;48.791401;2030-2050;3.471214147252747;10.710653683102494;7.184127052717392;3.7526799668478255
381;A331010001;LA-MODER-A-KALTENHOUSE;7.842964;48.791401;2070-2100;3.904654357142857;11.264448284526392;7.86262762657784;3.7210197483162
379;A348020001;LA-ZORN-A-WALTENHEIM-SUR-ZORN;7.633682;48.749634;2005-2030;3.729414063296703;9.063436375967228;8.010221634057972;3.810472862885217
379;A348020001;LA-ZORN-A-WALTENHEIM-SUR-ZORN;7.633682;48.749634;2030-2050;3.886004382967033;11.044810722991691;7.132265996739131;3.581438960869565
379;A348020001;LA-ZORN-A-WALTENHEIM-SUR-ZORN;7.633682;48.749634;2070-2100;4.110472377655678;11.237247105567606;7.782503188639551;3.4958543956043955
356;A349020001;LA-ZORN-A-HOERDT-;7.780890;48.711311;2005-2030;3.986366626813187;9.544821117888027;8.540249592391305;4.099288006252791
356;A349020001;LA-ZORN-A-HOERDT-;7.780890;48.711311;2030-2050;4.130981037362638;11.633325880886426;7.615483558695652;3.8821943581521743
356;A349020001;LA-ZORN-A-HOERDT-;7.780890;48.711311;2070-2100;4.376881852014652;11.843800386117136;8.334471570126226;3.79448264090748
454;A369011001;LA-SAUER-A-BEINHEIM;8.068490;48.859936;2005-2030;2.532322114285714;5.628919096040054;5.412600675724637;2.732845378293881
454;A369011001;LA-SAUER-A-BEINHEIM;8.068490;48.859936;2030-2050;2.342349399450549;6.607462743490304;4.838043732608695;2.664487282065217
454;A369011001;LA-SAUER-A-BEINHEIM;8.068490;48.859936;2070-2100;2.6502420307692307;7.032850740057845;5.299788399018233;2.6390617770294225
408;A420063001;LA-MOSELLE-A-SAINT-NABORD-[NOIRGUEUX];6.611131;48.067078;2005-2030;13.887713145054946;31.92686064770141;21.910923410326088;7.740703733363108
408;A420063001;LA-MOSELLE-A-SAINT-NABORD-[NOIRGUEUX];6.611131;48.067078;2030-2050;12.070504819230768;37.00611399722991;21.461134215217392;8.274482472282608
